"key","base","as","bn","de","es","fr","gu","hi","id","it","ja","kn","ko","ml","mr","ms","nl","or","pa","pl","pt","ru","si","ta","te","th","tr","uk","ur","vi","zh"
"addLabel","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Tambah","Add","Add","Add","Add","Add","Add","Add","\u0B9A\u0BC7\u0BB0\u0BCD","Add","Add","Add","Add","Add","Add","\u6DFB\u52A0"
"auditGridLabel","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid","Audit Grid"
"auditGridSummaryLabel","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history.","Search, filter, export, and inspect the full captured activity history."
"branchRequiredLabel","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*","Branch*"
"browserMixLabel","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix","Browser Mix"
"browserTypeDistributionLabel","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution","Browser Type Distribution"
"browserTypeDistributionSummaryLabel","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic.","See which browser environments are generating the current visible audit traffic."
"changeEventsLabel","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events","Change Events"
"changeEventsSummaryLabel","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data.","Add, edit, and delete actions that changed business data."
"changeOperationsLabel","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations","Change Operations"
"changeOperationsSummaryLabel","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records.","Combined add, edit, and delete operations across the loaded records."
"cityRequiredLabel","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*","City*"
"countryRequiredLabel","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*","Country*"
"createdAtLabel","Created At","Created at","Created at","Created at","Created at","Created at","Created at","Created at","Created at","Created at","Created at","Created at","Created at","Created at","Created at","Dicipta pada","Created at","Created at","Created at","Created at","Created at","Created at","Created at","\u0B89\u0BB0\u0BC1\u0BB5\u0BBE\u0B95\u0BCD\u0B95\u0BAA\u0B9F\u0BC1","Created at","Created at","Created at","Created at","Created at","Created at","\u521B\u5EFA\u65F6\u95F4"
"currentAuditMixLabel","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix","Current audit mix"
"currentSavedProfilePictureLabel","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account.","Current saved profile picture for this user account."
"dateTimeBasedEventFlowLabel","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow","Date/time based event flow"
"deleteLabel","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Padam","Delete","Delete","Delete","Delete","Delete","Delete","Delete","\u0B85\u0BB4\u0BBF","Delete","Delete","Delete","Delete","Delete","Delete","\u5220\u9664"
"emailAddressLabel","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address","Email address"
"environmentLabel","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment","Environment"
"environmentSourceProfileLabel","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile","Environment source profile"
"eventsLabel","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events","events"
"exportToExcelLabel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Eksport ke Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Excel \u0B95\u0BCD\u0B95\u0BC1 \u0B8F\u0B9F\u0BCD\u0B9F\u0BC1\u0BAE\u0BA4\u0BBF \u0B9A\u0BC6\u0BAF","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","Export to Excel","\u5BFC\u51FA\u4E3AExcel"
"exportToPdfLabel","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Eksport ke PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","PDF \u0B95\u0BCD\u0B95\u0BC1 \u0B8F\u0B9F\u0BCD\u0B9F\u0BC1\u0BAE\u0BA4\u0BBF \u0B9A\u0BC6\u0BAF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","Export to PDF","\u5BFC\u51FA\u4E3APDF"
"lastLogoutLabel","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout","Last Logout"
"lastPasswordChangeLabel","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change","Last Password Change"
"lastRecordedLabel","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded","Last Recorded"
"lastSeenLabel","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen","Last Seen"
"lastSuccessfulLoginLabel","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login","Last Successful Login"
"loginEventsLabel","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events","Login Events"
"loginEventsSummaryLabel","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list.","Authentication entries captured through the current audit list."
"loginLabel","Login","Login","Login","Login","Login","Login","Login","Login","Login","Login","Login","Login","Login","Login","Login","Masuk","Login","Login","Login","Login","Login","Login","Login","\u0B89\u0BB3\u0BCD\u0BA8\u0BC1\u0BB4\u0BC8","Login","Login","Login","Login","Login","Login","\u767B\u5F55"
"logoutEventsLabel","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events","Logout Events"
"logoutEventsSummaryLabel","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem.","Exit and session-ending movements captured by the audit subsystem."
"mostActiveUserLabel","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User","Most Active User"
"mostActiveUserSummaryLabel","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset.","User with the highest visible activity volume in the loaded dataset."
"noUserActivityFoundLabel","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found","No user activity found"
"overallUserActivityStatusLabel","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status","Overall User Activity Status"
"phoneLabel","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone","Phone"
"profileDetailsUnavailableLabel","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available","Profile details are not available"
"profileDetailsUnavailableSummaryLabel","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data.","The account could not be resolved from the current session. Refresh the page or sign in again to load the profile data."
"profileImageLabel","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image","Profile Image"
"profileNoActivityEntriesLabel","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet.","This profile does not have recorded activity entries yet."
"refreshActivityLabel","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity"
"searchActivityGridLabel","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid","Search activity grid"
"searchUserActivityLabel","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity","Search User Activity"
