"key","base","target","review_status","reviewer_notes"
"addingOrganizationFailedLabel","Adding Organization Failed","\u6DFB\u52A0\u7EC4\u7EC7\u5931\u8D25","",""
"unexpectedErrorLabel","Unexpected Error","\u610F\u5916\u9519\u8BEF","",""
"organizationDoestNotExistLabel","Organization does not exist","\u7EC4\u7EC7\u4E0D\u5B58\u5728","",""
"organizationUpdateFailedLabel","Organization Update Failed","\u7EC4\u7EC7\u66F4\u65B0\u5931\u8D25","",""
"organizationRemovalFailedLabel","Organization Removal Failed","\u7EC4\u7EC7\u5220\u9664\u5931\u8D25","",""
"organizationUpdatedSuccessfullyLabel","Organization Updated Successfully","\u7EC4\u7EC7\u66F4\u65B0\u6210\u529F","",""
"organizationDeletedSuccessfullyLabel"," Organization Deleted Successfully","\u7EC4\u7EC7\u5220\u9664\u6210\u529F","",""
"errorLabel","Error","\u9519\u8BEF","",""
"warningLabel","Warning","\u8B66\u544A","",""
"branchAddedSuccessfullyLabel","Branch Added Successfully","\u5206\u652F\u673A\u6784\u6DFB\u52A0\u6210\u529F","",""
"branchAlreadyExistsLabel","Branch already exists","\u5206\u652F\u673A\u6784\u5DF2\u5B58\u5728","",""
"branchAddFailedLabel","Branch Add Failed","\u5206\u652F\u673A\u6784\u6DFB\u52A0\u5931\u8D25","",""
"branchUpdatedSuccessfullyLabel","Branch Updated Successfully","\u5206\u652F\u673A\u6784\u66F4\u65B0\u6210\u529F","",""
"branchDoesNotExistsLabel","Branch does not exists","\u5206\u652F\u673A\u6784\u4E0D\u5B58\u5728","",""
"branchUpdateFailedLabel","Branch Update Failed","\u5206\u652F\u673A\u6784\u66F4\u65B0\u5931\u8D25","",""
"branchRemovalFailedLabel","Branch Removal Failed","\u5206\u652F\u673A\u6784\u5220\u9664\u5931\u8D25","",""
"branchRemovedSuccessfullyLabel"," Branch Removed Successfully","\u5206\u652F\u673A\u6784\u5220\u9664\u6210\u529F","",""
"searchDepartmentLabel","Search Department","\u641C\u7D22\u90E8\u95E8","",""
"departmentIdLabel","Department Id","\u90E8\u95E8\u7F16\u53F7","",""
"departmentNameLabel","Department Name","\u90E8\u95E8\u540D\u79F0","",""
"departmentDetailsLabel","Department Details","\u90E8\u95E8\u8BE6\u60C5","",""
"deleteTheDepartmentLabel","Delete the Department","\u5220\u9664\u90E8\u95E8","",""
"searchDesignationLabel","Search Designation","\u641C\u7D22\u804C\u4F4D","",""
"designationIdLabel","Designation Id","\u804C\u4F4D\u7F16\u53F7","",""
"designationNameLabel","Designation Name","\u804C\u4F4D\u540D\u79F0","",""
"designationDetailsLabel","Designation Details","\u804C\u4F4D\u8BE6\u60C5","",""
"deleteTheDesignationLabel","Delete the Designation","\u5220\u9664\u804C\u4F4D","",""
"searchCountryLabel","Search Country","\u641C\u7D22\u56FD\u5BB6","",""
"countryIdLabel","Country Id","\u56FD\u5BB6\u7F16\u53F7","",""
"countryNameLabel","Country Name","\u56FD\u5BB6\u540D\u79F0","",""
"isoCode2Label","ISO Code 2","\u0049\u0053\u004F\u4EE3\u78012","",""
"isoCode3Label","ISO Code 3","\u0049\u0053\u004F\u4EE3\u78013","",""
"capitalLabel","Capital","\u9996\u90FD","",""
"numericCodeLabel","Numeric Code","\u6570\u5B57\u4EE3\u7801","",""
"phoneCodeLabel","PhoneCode","\u7535\u8BDD\u4EE3\u7801","",""
"currencyNameLabel","Currency Name","\u8D27\u5E01\u540D\u79F0","",""
"tldLabel","tld","\u9876\u7EA7\u57DF\u540D","",""
"nativeNameLabel","Native Name","\u672C\u540D","",""
"nationalityLabel","Nationality","\u56FD\u7C4D","",""
"timezonesLabel","Timezone","\u65F6\u533A","",""
"translationsLabel","Translations","\u7FFB\u8BD1","",""
"deleteTheCountryLabel","Delete the Country","\u5220\u9664\u56FD\u5BB6","",""
"countryDetailsLabel","Country Details","\u56fd\u5bb6\u8be6\u60c5","",""
"deleteTheStateLabel","Delete the State","\u5220\u9664\u72b6\u6001","",""
"latitudeLabel","Latitude","\u7eac\u5ea6","",""
"longitudeLabel","Longitude","\u7ecf\u5ea6","",""
"stateNameLabel","State Name","\u5dde\u540d","",""
"stateDetailsLabel","State Details","\u5dde\u8be6\u60c5","",""
"departmentAddedSuccessfullyLabel","Department Added Successfully","\u90e8\u95e8\u6dfb\u52a0\u6210\u529f","",""
"departmentAlreadyExistsLabel","Department already exists","\u90e8\u95e8\u5df2\u7ecf\u5b58\u5728","",""
"departmentAddFailedLabel","Department Add Failed","\u90e8\u95e8\u6dfb\u52a0\u5931\u8d25","",""
"departmentUpdatedSuccessfullyLabel","Department Updated Successfully","\u90e8\u95e8\u66f4\u65b0\u6210\u529f","",""
"departmentDoesNotExistLabel","Department does not exist","\u90e8\u95e8\u4e0d\u5b58\u5728","",""
"departmentUpdateFailedLabel","Department Update Failed","\u90e8\u95e8\u66f4\u65b0\u5931\u8d25","",""
"departmentRemovedSuccessfullyLabel","Department Removed Successfully","\u90e8\u95e8\u5220\u9664\u6210\u529f","",""
"departmentRemovalFailedLabel","Department Removal Failed","\u90e8\u95e8\u5220\u9664\u5931\u8d25","",""
"designationAddedSuccessfullyLabel","Designation Added Successfully","\u804c\u4f4d\u6dfb\u52a0\u6210\u529f","",""
"designationAlreadyExistLabel","Designation already exists","\u804c\u4f4d\u5df2\u7ecf\u5b58\u5728","",""
"designationAddFailedLabel","Designation Add Failed","\u804c\u4f4d\u6dfb\u52a0\u5931\u8d25","",""
"designationUpdatedSuccessfullyLabel","Designation Updated Successfully","\u804c\u4f4d\u66f4\u65b0\u6210\u529f","",""
"designationUpdateFailedLabel","Designation Update Failed","\u804c\u4f4d\u66f4\u65b0\u5931\u8d25","",""
"designationRemovedSuccessfullyLabel","Designation Removed Successfully","\u804c\u4f4d\u5220\u9664\u6210\u529f","",""
"designationDoesNotExistLabel","Designation does not exist","\u804c\u4f4d\u4e0d\u5b58\u5728","",""
"designationRemovalFailedLabel","Designation Removal Failed","\u804c\u4f4d\u5220\u9664\u5931\u8d25","",""
"countryAddedSuccessfullyLabel","Country Added Successfully","\u56fd\u5bb6\u6dfb\u52a0\u6210\u529f","",""
"countryAlreadyExistsLabel","Country already exists","\u56fd\u5bb6\u5df2\u7ecf\u5b58\u5728","",""
"countryAddFailedLabel","Country Add Failed","\u56fd\u5bb6\u6dfb\u52a0\u5931\u8d25","",""
"countryDoesNotExistsLabel","Country does not exists","\u56fd\u5bb6\u4e0d\u5b58\u5728","",""
"countryUpdateFailedLabel","Country Update Failed","\u56fd\u5bb6\u66f4\u65b0\u5931\u8d25","",""
"countryRemovalFailedLabel","Country Removal Failed","\u56fd\u5bb6\u5220\u9664\u5931\u8d25","",""
"countryShouldNotBeEmptyLabel","Country should not be empty","\u56fd\u5bb6\u4e0d\u80fd\u4e3a\u7a7a","",""
"stateAddedSuccessfullyLabel","State Added Successfully","\u7701\u6dfb\u52a0\u6210\u529f","",""
"stateAlreadyExistsLabel","State already exists","\u7701\u5df2\u7ecf\u5b58\u5728","",""
"stateAddFailedLabel","State Add Failed","\u7701\u6dfb\u52a0\u5931\u8d25","",""
"stateDoesNotExistsLabel","State does not exists","\u7701\u4e0d\u5b58\u5728","",""
"stateUpdateFailedLabel","State Update Failed","\u7701\u66f4\u65b0\u5931\u8d25","",""
"stateRemovedSuccessfullyLabel","State Removed Successfully","\u7701\u5220\u9664\u6210\u529f","",""
"stateRemovalFailedLabel","State Removal Failed","\u7701\u5220\u9664\u5931\u8d25","",""
"noStateFoundLabel","No State Found","\u672a\u627e\u5230\u7701","",""
"stateUpdatedSuccessfullyLabel","State Updated Successfully","\u72b6\u6001\u66f4\u65b0\u6210\u529f","",""
"searchStateLabel","Search State","\u641c\u7d22\u72b6\u6001","",""
"searchRegionLabel","Search Region","\u0073\u0065\u0061\u0072\u0063\u0068\u0052\u0065\u0067\u0069\u006F\u006E\u004C\u0061\u0062\u0065\u006C","",""
"searchNotificationSettingLabel","Search Notification Setting","\u0073\u0065\u0061\u0072\u0063\u0068\u004E\u006F\u0074\u0069\u0066\u0069\u0063\u0061\u0074\u0069\u006F\u006E\u0053\u0065\u0074\u0074\u0069\u006E\u0067\u004C\u0061\u0062\u0065\u006C","",""
"searchSubRegionLabel","Search Subregion","\u0073\u0065\u0061\u0072\u0063\u0068\u0053\u0075\u0062\u0052\u0065\u0067\u0069\u006F\u006E\u004C\u0061\u0062\u0065\u006C","",""
"searchCurrencyLabel","Search Currency","\u0073\u0065\u0061\u0072\u0063\u0068\u0043\u0075\u0072\u0072\u0065\u006E\u0063\u0079\u004C\u0061\u0062\u0065\u006C","",""
"searchCityLabel","Search City","\u0073\u0065\u0061\u0072\u0063\u0068\u0043\u0069\u0074\u0079\u004C\u0061\u0062\u0065\u006C","",""
"cityNameLabel","City Name","\u0063\u0069\u0074\u0079\u004E\u0061\u006D\u0065\u004C\u0061\u0062\u0065\u006C","",""
"cityDetailsLabel","City Details","\u0063\u0069\u0074\u0079\u0044\u0065\u0074\u0061\u0069\u006C\u0073\u004C\u0061\u0062\u0065\u006C","",""
"deleteTheNotificationSettingLabel","Delete the NotificationSetting","\u0064\u0065\u006C\u0065\u0074\u0065\u0054\u0068\u0065\u004E\u006F\u0074\u0069\u0066\u0069\u0063\u0061\u0074\u0069\u006F\u006E\u0053\u0065\u0074\u0074\u0069\u006E\u0067\u004C\u0061\u0062\u0065\u006C","",""
"deleteTheRegionLabel","Delete the Region","\u0064\u0065\u006C\u0065\u0074\u0065\u0054\u0068\u0065\u0052\u0065\u0067\u0069\u006F\u006E\u004C\u0061\u0062\u0065\u006C","",""
"deleteTheSubRegionLabel","Delete the SubRegion","\u0064\u0065\u006C\u0065\u0074\u0065\u0054\u0068\u0065\u0053\u0075\u0062\u0052\u0065\u0067\u0069\u006F\u006E\u004C\u0061\u0062\u0065\u006C","",""
"deleteTheCityLabel","Delete the City","\u0064\u0065\u006C\u0065\u0074\u0065\u0054\u0068\u0065\u0043\u0069\u0074\u0079\u004C\u0061\u0062\u0065\u006C","",""
"deleteTheCurrencyLabel","Delete the Currency","\u0064\u0065\u006C\u0065\u0074\u0065\u0054\u0068\u0065\u0043\u0075\u0072\u0072\u0065\u006E\u0063\u0079\u004C\u0061\u0062\u0065\u006C","",""
"smtpPortLabel","smtpPort","\u0073\u006D\u0074\u0070\u0050\u006F\u0072\u0074\u004C\u0061\u0062\u0065\u006C","",""
"regionIdLabel","Region Id","\u0072\u0065\u0067\u0069\u006F\u006E\u0049\u0064\u004C\u0061\u0062\u0065\u006C","",""
"regionNameLabel","Region Name","\u0072\u0065\u0067\u0069\u006F\u006E\u004E\u0061\u006D\u0065\u004C\u0061\u0062\u0065\u006C","",""
"regionDetailsLabel","Region Details","\u0072\u0065\u0067\u0069\u006F\u006E\u0044\u0065\u0074\u0061\u0069\u006C\u0073\u004C\u0061\u0062\u0065\u006C","",""
"subRegionNameLabel","Subregion Name","\u0073\u0075\u0062\u0052\u0065\u0067\u0069\u006F\u006E\u004E\u0061\u006D\u0065\u004C\u0061\u0062\u0065\u006C","",""
"subRegionDetailsLabel","SubRegion Details","\u0073\u0075\u0062\u0052\u0065\u0067\u0069\u006F\u006E\u0044\u0065\u0074\u0061\u0069\u006C\u0073\u004C\u0061\u0062\u0065\u006C","",""
"subRegionIdLabel","Subregion Id","\u0073\u0075\u0062\u0052\u0065\u0067\u0069\u006F\u006E\u0049\u0064\u004C\u0061\u0062\u0065\u006C","",""
"currencySymbolLabel","Currency Symbol","\u8D27\u5E01\u7B26\u53F7","",""
"currencyCodeLabel","Currency Code","\u0063\u0075\u0072\u0072\u0065\u006E\u0063\u0079\u0043\u006F\u0064\u0065\u004C\u0061\u0062\u0065\u006C","",""
"currencyDetailsLabel","Currency Details","\u0063\u0075\u0072\u0072\u0065\u006E\u0063\u0079\u0044\u0065\u0074\u0061\u0069\u006C\u0073\u004C\u0061\u0062\u0065\u006C","",""
"currencyIdLabel","Currency Id","\u0063\u0075\u0072\u0072\u0065\u006E\u0063\u0079\u0049\u0064\u004C\u0061\u0062\u0065\u006C","",""
"idLabel","Id","\u0049\u0064\u004C\u0061\u0062\u0065\u006C","",""
"smtpAuthLabel","smtpAuth","\u0073\u006D\u0074\u0070\u0041\u0075\u0074\u0068\u004C\u0061\u0062\u0065\u006C","",""
"smtpStarttlsEnableLabel","smtpStarttlsEnable","\u0073\u006D\u0074\u0070\u0053\u0074\u0061\u0072\u0074\u0074\u006C\u0073\u0045\u006E\u0061\u0062\u006C\u0065\u004C\u0061\u0062\u0065\u006C","",""
"smtpHostLabel","smtpHost","\u0073\u006D\u0074\u0070\u0048\u006F\u0073\u0074\u004C\u0061\u0062\u0065\u006C","",""
"notificationSettingDetailsLabel","NotificationSetting Details","\u006E\u006F\u0074\u0069\u0066\u0069\u0063\u0061\u0074\u0069\u006F\u006E\u0053\u0065\u0074\u0074\u0069\u006E\u0067\u0044\u0065\u0074\u0061\u0069\u006C\u0073\u004C\u0061\u0062\u0065\u006C","",""
"regionAddedSuccessfullyLabel","Region Added Successfully","\u533A\u57DF\u6DFB\u52A0\u6210\u529F","",""
"regionAlreadyExistsLabel","Region already exists","\u533A\u57DF\u5DF2\u5B58\u5728","",""
"regionAddFailedLabel","Region Add Failed","\u533A\u57DF\u6DFB\u52A0\u5931\u8D25","",""
"regionUpdatedSuccessfullyLabel","Region Updated Successfully","\u533A\u57DF\u66F4\u65B0\u6210\u529F","",""
"regionDoesNotExistsLabel","Region does not exists","\u533A\u57DF\u4E0D\u5B58\u5728","",""
"regionUpdateFailedLabel","Region Update Failed","\u533A\u57DF\u66F4\u65B0\u5931\u8D25","",""
"regionRemovedSuccessfullyLabel","Region Removed Successfully","\u533A\u57DF\u5220\u9664\u6210\u529F","",""
"regionRemovalFailedLabel","Region Removal Failed","\u533A\u57DF\u5220\u9664\u5931\u8D25","",""
"subRegionAddedSuccessfullyLabel","SubRegion Added Successfully","\u5206\u533A\u6DFB\u52A0\u6210\u529F","",""
"subRegionAlreadyExistsLabel","SubRegion already exists","\u5206\u533A\u5DF2\u5B58\u5728","",""
"subRegionAddFailedLabel","SubRegion Add Failed","\u5206\u533A\u6DFB\u52A0\u5931\u8D25","",""
"subRegionUpdatedSuccessfullyLabel","SubRegion Updated Successfully","\u5206\u533A\u66F4\u65B0\u6210\u529F","",""
"subregionDoesnotExistsLabel","Subregion does not exists","\u5206\u533A\u4E0D\u5B58\u5728","",""
"subregionUpdateFailedLabel","Subregion Update Failed","\u5206\u533A\u66F4\u65B0\u5931\u8D25","",""
"subRegionRemovalFailedLabel","SubRegion Removal Failed","\u5206\u533A\u5220\u9664\u5931\u8D25","",""
"subRegionRemovedSuccessfullyLabel","SubRegion Removed Successfully","\u5206\u533A\u5220\u9664\u6210\u529F","",""
"stateShouldNotBeEmptyLabel","State should not be empty","\u72B6\u6001\u4E0D\u80FD\u4E3A\u7A7A","",""
"cityAddFailedLabel","City Add Failed","\u57CE\u5E02\u6DFB\u52A0\u5931\u8D25","",""
"cityAddedSuccessfullyLabel","City Added Successfully","\u57CE\u5E02\u6DFB\u52A0\u6210\u529F","",""
"cityUpdatedSuccessfullyLabel","City Updated Successfully","\u57CE\u5E02\u66F4\u65B0\u6210\u529F","",""
"cityAlreadyExistsLabel","City already exists","\u57CE\u5E02\u5DF2\u5B58\u5728","",""
"cityDoesNotExistsLabel","City does not exists","\u57CE\u5E02\u4E0D\u5B58\u5728","",""
"cityUpdateFailedLabel","City Update Failed","\u57CE\u5E02\u66F4\u65B0\u5931\u8D25","",""
"noCityFoundLabel","No City Found","\u672A\u627E\u5230\u57CE\u5E02","",""
"cityRemovalFailedLabel","City Removal Failed","\u57CE\u5E02\u5220\u9664\u5931\u8D25","",""
"currencyAddedSuccessfullyLabel","Currency Added Successfully","\u8d27\u5e01\u6dfb\u52a0\u6210\u529f","",""
"currencyAlreadyExistsLabel","Currency already exists","\u8d27\u5e01\u5df2\u5b58\u5728","",""
"currencyAddFailedLabel","Currency Add Failed","\u8d27\u5e01\u6dfb\u52a0\u5931\u8d25","",""
"currencyUpdatedSuccessfullyLabel","Currency Updated Successfully","\u8d27\u5e01\u66f4\u65b0\u6210\u529f","",""
"currencyDoesnotExistsLabel","Currency does not exists","\u8d27\u5e01\u4e0d\u5b58\u5728","",""
"currencyUpdateFailedLabel","Currency Update Failed","\u8d27\u5e01\u66f4\u65b0\u5931\u8d25","",""
"termsAndConditionsAddedSuccessfullyLabel"," Terms and Conditions Added Successfully","","",""
"termsAndConditionsAlreadyExistsLabel"," Terms and Conditions Already Exists","","",""
"termsAndConditionsAddFailedLabel"," Terms and Conditions Add failed","","",""
"termsAndConditionsUpdatedSuccessfullyLabel"," Terms and Conditions Added Successfully","","",""
"termsAndConditionsDoesNotExistLabel"," Terms and Conditions Does Not Exist","","",""
"termsAndConditionsUpdateFailedLabel"," Terms and Conditions Update Failed","","",""
"termsAndConditionsRemovedSuccessfullyLabel"," Terms and Conditions Removed Successfully","","",""
"termsAndConditionsRemovalFailedLabel"," Terms and Conditions Removal Failed","","",""
"termsAndConditionsLabel"," Terms and Conditions","","",""
"fetchTermsAndConditionsLabel"," Fetch Terms and Conditions ","","",""
"searchTermsAndConditionsLabel"," Search TermsAndConditions","","",""
"termsAndConditionsDetailsLabel"," Terms And Conditions Details","","",""
"bankDetailsAddedSuccessfullyLabel"," BankDetails Added Successfully","","",""
"bankDetailsAlreadyExistsLabel"," BankDetails Already Exists","","",""
"bankDetailsAddFailedLabel"," BankDetails Add Failed","","",""
"bankDetailsUpdatedSuccessfullyLabel"," BankDetails Updated Successfully","","",""
"bankDetailsDoesNotExistLabel"," Bank Details Does Not Exist","","",""
"bankDetailsUpdateFailedLabel"," BankDetails Update Failed","","",""
"bankDetailsRemovedSuccessfullyLabel"," BankDetails Removed Successfully","","",""
"bankDetailsRemovalFailedLabel"," BankDetails Removal Failed","","",""
"fetchBankDetailsLabel"," Fetch Bank Details","","",""
"searchBankDetailsLabel"," search Bank Details","","",""
"fetchLicensesLabel","Fetch Licenses","Fetch Licenses","",""
"searchLicenseLabel","Search License","Search License","",""
"licenseDetailsLabel","License Details","License Details","",""
"licenseStartDateLabel","Start Date","Start Date","",""
"licenseEndDateLabel","End Date","End Date","",""
"deleteTheLicenseLabel","Delete the License","Delete the License","",""
"licenseAddedSuccessfullyLabel","License Added Successfully","License Added Successfully","",""
"licenseAlreadyExistsLabel","License already exists for the organization","License already exists for the organization","",""
"licenseAddFailedLabel","License Add Failed","License Add Failed","",""
"licenseUpdatedSuccessfullyLabel","License Updated Successfully","License Updated Successfully","",""
"licenseUpdateFailedLabel","License Update Failed","License Update Failed","",""
"licenseDeletedSuccessfullyLabel","License Deleted Successfully","License Deleted Successfully","",""
"licenseRemovalFailedLabel","License Removal Failed","License Removal Failed","",""
"licenseDoesNotExistLabel","License does not exist","License does not exist","",""
