"key","base","target","review_status","reviewer_notes"
"designationUpdateFailedLabel","Designation Update Failed","","",""
"designationRemovedSuccessfullyLabel","Designation Removed Successfully","","",""
"designationDoesNotExistLabel","Designation does not exist","","",""
"designationRemovalFailedLabel","Designation Removal Failed","","",""
"countryAddedSuccessfullyLabel","Country Added Successfully","","",""
"countryAlreadyExistsLabel","Country already exists","","",""
"countryAddFailedLabel","Country Add Failed","","",""
"countryDoesNotExistsLabel","Country does not exists","","",""
"countryUpdateFailedLabel","Country Update Failed","","",""
"countryRemovalFailedLabel","Country Removal Failed","","",""
"countryShouldNotBeEmptyLabel","Country should not be empty","","",""
"stateAddedSuccessfullyLabel","State Added Successfully","","",""
"stateAlreadyExistsLabel","State already exists","","",""
"stateAddFailedLabel","State Add Failed","","",""
"stateDoesNotExistsLabel","State does not exists","","",""
"stateUpdateFailedLabel","State Update Failed","","",""
"stateRemovedSuccessfullyLabel","State Removed Successfully","","",""
"stateRemovalFailedLabel","State Removal Failed","","",""
"noStateFoundLabel","No State Found","","",""
"stateUpdatedSuccessfullyLabel","State Updated Successfully","","",""
"searchStateLabel","Search State","","",""
"searchRegionLabel","Search Region","","",""
"searchNotificationSettingLabel","Search Notification Setting","","",""
"searchSubRegionLabel","Search Subregion","","",""
"searchCurrencyLabel","Search Currency","","",""
"searchCityLabel","Search City","","",""
"cityNameLabel","City Name","","",""
"cityDetailsLabel","City Details","","",""
"deleteTheNotificationSettingLabel","Delete the NotificationSetting","","",""
"deleteTheRegionLabel","Delete the Region","","",""
"deleteTheSubRegionLabel","Delete the SubRegion","","",""
"deleteTheCityLabel","Delete the City","","",""
"deleteTheCurrencyLabel","Delete the Currency","","",""
"smtpPortLabel","smtpPort","","",""
"regionIdLabel","Region Id","","",""
"regionNameLabel","Region Name","","",""
"regionDetailsLabel","Region Details","","",""
"subRegionNameLabel","Subregion Name","","",""
"subRegionDetailsLabel","SubRegion Details","","",""
"subRegionIdLabel","Subregion Id","","",""
"currencySymbolLabel","Currency Symbol","","",""
"currencyCodeLabel","Currency Code","","",""
"currencyDetailsLabel","Currency Details","","",""
"currencyIdLabel","Currency Id","","",""
"idLabel","Id","","",""
"smtpAuthLabel","smtpAuth","","",""
"smtpStarttlsEnableLabel","smtpStarttlsEnable","","",""
"smtpHostLabel","smtpHost","","",""
"notificationSettingDetailsLabel","NotificationSetting Details","","",""
"regionAddedSuccessfullyLabel","Region Added Successfully","","",""
"regionAlreadyExistsLabel","Region already exists","","",""
"regionAddFailedLabel","Region Add Failed","","",""
"regionUpdatedSuccessfullyLabel","Region Updated Successfully","","",""
"regionDoesNotExistsLabel","Region does not exists","","",""
"regionUpdateFailedLabel","Region Update Failed","","",""
"regionRemovedSuccessfullyLabel","Region Removed Successfully","","",""
"regionRemovalFailedLabel","Region Removal Failed","","",""
"subRegionAddedSuccessfullyLabel","SubRegion Added Successfully","","",""
"subRegionAlreadyExistsLabel","SubRegion already exists","","",""
"subRegionAddFailedLabel","SubRegion Add Failed","","",""
"subRegionUpdatedSuccessfullyLabel","SubRegion Updated Successfully","","",""
"subregionDoesnotExistsLabel","Subregion does not exists","","",""
"subregionUpdateFailedLabel","Subregion Update Failed","","",""
"subRegionRemovalFailedLabel","SubRegion Removal Failed","","",""
"subRegionRemovedSuccessfullyLabel","SubRegion Removed Successfully","","",""
"stateShouldNotBeEmptyLabel","State should not be empty","","",""
"cityAddFailedLabel","City Add Failed","","",""
"cityAddedSuccessfullyLabel","City Added Successfully","","",""
"cityUpdatedSuccessfullyLabel","City Updated Successfully","","",""
"cityAlreadyExistsLabel","City already exists","","",""
"cityDoesNotExistsLabel","City does not exists","","",""
"cityUpdateFailedLabel","City Update Failed","","",""
"noCityFoundLabel","No City Found","","",""
"cityRemovalFailedLabel","City Removal Failed","","",""
"currencyAddedSuccessfullyLabel","Currency Added Successfully","","",""
"currencyAlreadyExistsLabel","Currency already exists","","",""
"currencyAddFailedLabel","Currency Add Failed","","",""
"currencyUpdatedSuccessfullyLabel","Currency Updated Successfully","","",""
"currencyDoesnotExistsLabel","Currency does not exists","","",""
"currencyUpdateFailedLabel","Currency Update Failed","","",""
"termsAndConditionsAddedSuccessfullyLabel"," Terms and Conditions Added Successfully","","",""
"termsAndConditionsAlreadyExistsLabel"," Terms and Conditions Already Exists","","",""
"termsAndConditionsAddFailedLabel"," Terms and Conditions Add failed","","",""
"termsAndConditionsUpdatedSuccessfullyLabel"," Terms and Conditions Added Successfully","","",""
"termsAndConditionsDoesNotExistLabel"," Terms and Conditions Does Not Exist","","",""
"termsAndConditionsUpdateFailedLabel"," Terms and Conditions Update Failed","","",""
"termsAndConditionsRemovedSuccessfullyLabel"," Terms and Conditions Removed Successfully","","",""
"termsAndConditionsRemovalFailedLabel"," Terms and Conditions Removal Failed","","",""
"termsAndConditionsLabel"," Terms and Conditions","","",""
"fetchTermsAndConditionsLabel"," Fetch Terms and Conditions ","","",""
"searchTermsAndConditionsLabel"," Search TermsAndConditions","","",""
"termsAndConditionsDetailsLabel"," Terms And Conditions Details","","",""
"bankDetailsAddedSuccessfullyLabel"," BankDetails Added Successfully","","",""
"bankDetailsAlreadyExistsLabel"," BankDetails Already Exists","","",""
"bankDetailsAddFailedLabel"," BankDetails Add Failed","","",""
"bankDetailsUpdatedSuccessfullyLabel"," BankDetails Updated Successfully","","",""
"bankDetailsDoesNotExistLabel"," Bank Details Does Not Exist","","",""
"bankDetailsUpdateFailedLabel"," BankDetails Update Failed","","",""
"bankDetailsRemovedSuccessfullyLabel"," BankDetails Removed Successfully","","",""
"bankDetailsRemovalFailedLabel"," BankDetails Removal Failed","","",""
"fetchBankDetailsLabel"," Fetch Bank Details","","",""
"searchBankDetailsLabel"," search Bank Details","","",""
"fetchLicensesLabel","Fetch Licenses","","",""
"searchLicenseLabel","Search License","","",""
"licenseDetailsLabel","License Details","","",""
"licenseStartDateLabel","Start Date","","",""
"licenseEndDateLabel","End Date","","",""
"deleteTheLicenseLabel","Delete the License","","",""
"licenseAddedSuccessfullyLabel","License Added Successfully","","",""
"licenseAlreadyExistsLabel","License already exists for the organization","","",""
"licenseAddFailedLabel","License Add Failed","","",""
"licenseUpdatedSuccessfullyLabel","License Updated Successfully","","",""
"licenseUpdateFailedLabel","License Update Failed","","",""
"licenseDeletedSuccessfullyLabel","License Deleted Successfully","","",""
"licenseRemovalFailedLabel","License Removal Failed","","",""
"licenseDoesNotExistLabel","License does not exist","","",""
