"key","base","target","review_status","reviewer_notes"
"departmentDetailsLabel","Department Details","Butiran Jabatan","",""
"deleteTheDepartmentLabel","Delete the Department","Padam Jabatan","",""
"searchDesignationLabel","Search Designation","Cari Jawatan","",""
"designationIdLabel","Designation Id","ID Jawatan","",""
"designationNameLabel","Designation Name","Nama Jawatan","",""
"designationDetailsLabel","Designation Details","Butiran Jawatan","",""
"deleteTheDesignationLabel","Delete the Designation","Padam Jawatan","",""
"searchCountryLabel","Search Country","Cari Negara","",""
"countryIdLabel","Country Id","ID Negara","",""
"countryNameLabel","Country Name","Nama Negara","",""
"isoCode2Label","ISO Code 2","Kod ISO 2","",""
"isoCode3Label","ISO Code 3","Kod ISO 3","",""
"capitalLabel","Capital","Ibu Negara","",""
"numericCodeLabel","Numeric Code","Kod Numerik","",""
"phoneCodeLabel","PhoneCode","Kod Telefon","",""
"currencyNameLabel","Currency Name","Nama Mata Wang","",""
"tldLabel","tld","TLD","",""
"nativeNameLabel","Native Name","Nama Asal","",""
"nationalityLabel","Nationality","Kewarganegaraan","",""
"timezonesLabel","Timezone","Zon Waktu","",""
"translationsLabel","Translations","Terjemahan","",""
"deleteTheCountryLabel","Delete the Country","Padam Negara","",""
"countryDetailsLabel","Country Details","Butiran Negara","",""
"deleteTheStateLabel","Delete the State","Padam Negeri","",""
"latitudeLabel","Latitude","Latitud","",""
"longitudeLabel","Longitude","Longitud","",""
"stateNameLabel","State Name","Nama Negeri","",""
"stateDetailsLabel","State Details","Butiran Negeri","",""
"departmentAddedSuccessfullyLabel","Department Added Successfully","Jabatan Berjaya Ditambah","",""
"departmentAlreadyExistsLabel","Department already exists","Jabatan Sudah Wujud","",""
"departmentAddFailedLabel","Department Add Failed","Tambah Jabatan Gagal","",""
"departmentUpdatedSuccessfullyLabel","Department Updated Successfully","Jabatan Berjaya Dikemas Kini","",""
"departmentDoesNotExistLabel","Department does not exist","Jabatan Tidak Wujud","",""
"departmentUpdateFailedLabel","Department Update Failed","Kemas Kini Jabatan Gagal","",""
"departmentRemovedSuccessfullyLabel","Department Removed Successfully","Jabatan Berjaya Dihapuskan","",""
"departmentRemovalFailedLabel","Department Removal Failed","Penghapusan Jabatan Gagal","",""
"designationAddedSuccessfullyLabel","Designation Added Successfully","Jawatan Berjaya Ditambah","",""
"designationAlreadyExistLabel","Designation already exists","Jawatan Sudah Wujud","",""
"designationAddFailedLabel","Designation Add Failed","Tambah Jawatan Gagal","",""
"designationUpdatedSuccessfullyLabel","Designation Updated Successfully","Jawatan Berjaya Dikemas Kini","",""
"designationUpdateFailedLabel","Designation Update Failed","Kemas Kini Jawatan Gagal","",""
"designationRemovedSuccessfullyLabel","Designation Removed Successfully","Jawatan Berjaya Dihapuskan","",""
"designationDoesNotExistLabel","Designation does not exist","Jawatan Tidak Wujud","",""
"designationRemovalFailedLabel","Designation Removal Failed","Penghapusan Jawatan Gagal","",""
"countryAddedSuccessfullyLabel","Country Added Successfully","Negara Berjaya Ditambah","",""
"countryAlreadyExistsLabel","Country already exists","Negara Sudah Wujud","",""
"countryAddFailedLabel","Country Add Failed","Tambah Negara Gagal","",""
"countryDoesNotExistsLabel","Country does not exists","Negara Tidak Wujud","",""
"countryUpdateFailedLabel","Country Update Failed","Kemas Kini Negara Gagal","",""
"countryRemovalFailedLabel","Country Removal Failed","Penghapusan Negara Gagal","",""
"countryShouldNotBeEmptyLabel","Country should not be empty","Negara Tidak Boleh Kosong","",""
"stateAddedSuccessfullyLabel","State Added Successfully","Negeri Berjaya Ditambah","",""
"stateAlreadyExistsLabel","State already exists","Negeri Sudah Wujud","",""
"stateAddFailedLabel","State Add Failed","Tambah Negeri Gagal","",""
"stateDoesNotExistsLabel","State does not exists","Negeri Tidak Wujud","",""
"stateUpdateFailedLabel","State Update Failed","Kemas Kini Negeri Gagal","",""
"stateRemovedSuccessfullyLabel","State Removed Successfully","Negeri Berjaya Dihapuskan","",""
"stateRemovalFailedLabel","State Removal Failed","Penghapusan Negeri Gagal","",""
"noStateFoundLabel","No State Found","Tiada Negeri Dijumpai","",""
"stateUpdatedSuccessfullyLabel","State Updated Successfully","Negeri Berjaya Dikemas Kini","",""
"searchStateLabel","Search State","Cari Negeri","",""
"searchRegionLabel","Search Region","Cari Wilayah","",""
"searchNotificationSettingLabel","Search Notification Setting","Cari Tetapan Pemberitahuan","",""
"searchSubRegionLabel","Search Subregion","Cari Sub Wilayah","",""
"searchCurrencyLabel","Search Currency","Cari Mata Wang","",""
"searchCityLabel","Search City","Cari Bandar","",""
"cityNameLabel","City Name","Nama Bandar","",""
"cityDetailsLabel","City Details","Butiran Bandar","",""
"deleteTheNotificationSettingLabel","Delete the NotificationSetting","Padam Tetapan Pemberitahuan","",""
"deleteTheRegionLabel","Delete the Region","Padam Wilayah","",""
"deleteTheSubRegionLabel","Delete the SubRegion","Padam Sub Wilayah","",""
"deleteTheCityLabel","Delete the City","Padam Bandar","",""
"deleteTheCurrencyLabel","Delete the Currency","Padam Mata Wang","",""
"smtpPortLabel","smtpPort","Port SMTP","",""
"regionIdLabel","Region Id","ID Wilayah","",""
"regionNameLabel","Region Name","Nama Wilayah","",""
"regionDetailsLabel","Region Details","Butiran Wilayah","",""
"subRegionNameLabel","Subregion Name","Nama Sub Wilayah","",""
"subRegionDetailsLabel","SubRegion Details","Butiran Sub Wilayah","",""
"subRegionIdLabel","Subregion Id","ID Sub Wilayah","",""
"currencySymbolLabel","Currency Symbol","Simbol Mata Wang","",""
"currencyCodeLabel","Currency Code","Kod Mata Wang","",""
"currencyDetailsLabel","Currency Details","Butiran Mata Wang","",""
"currencyIdLabel","Currency Id","ID Mata Wang","",""
"idLabel","Id","ID","",""
"smtpAuthLabel","smtpAuth","Pengesahan SMTP","",""
"smtpStarttlsEnableLabel","smtpStarttlsEnable","StartTLS SMTP Dibenarkan","",""
"smtpHostLabel","smtpHost","Hos SMTP","",""
"notificationSettingDetailsLabel","NotificationSetting Details","Butiran Tetapan Pemberitahuan","",""
"regionAddedSuccessfullyLabel","Region Added Successfully","Wilayah Berjaya Ditambah","",""
"regionAlreadyExistsLabel","Region already exists","Wilayah sudah wujud","",""
"regionAddFailedLabel","Region Add Failed","Gagal Menambah Wilayah","",""
"regionUpdatedSuccessfullyLabel","Region Updated Successfully","Wilayah Berjaya Dikemas Kini","",""
"regionDoesNotExistsLabel","Region does not exists","Wilayah tidak wujud","",""
"regionUpdateFailedLabel","Region Update Failed","Gagal Mengemas Kini Wilayah","",""
"regionRemovedSuccessfullyLabel","Region Removed Successfully","Wilayah Berjaya Dihapuskan","",""
"regionRemovalFailedLabel","Region Removal Failed","Gagal Menghapuskan Wilayah","",""
"subRegionAddedSuccessfullyLabel","SubRegion Added Successfully","Subwilayah Berjaya Ditambah","",""
"subRegionAlreadyExistsLabel","SubRegion already exists","Subwilayah sudah wujud","",""
"subRegionAddFailedLabel","SubRegion Add Failed","Gagal Menambah Subwilayah","",""
"subRegionUpdatedSuccessfullyLabel","SubRegion Updated Successfully","Subwilayah Berjaya Dikemas Kini","",""
"subregionDoesnotExistsLabel","Subregion does not exists","Subwilayah tidak wujud","",""
"subregionUpdateFailedLabel","Subregion Update Failed","Gagal Mengemas Kini Subwilayah","",""
"subRegionRemovalFailedLabel","SubRegion Removal Failed","Gagal Menghapuskan Subwilayah","",""
"subRegionRemovedSuccessfullyLabel","SubRegion Removed Successfully","Subwilayah Berjaya Dihapuskan","",""
"stateShouldNotBeEmptyLabel","State should not be empty","Negeri tidak boleh kosong","",""
"cityAddFailedLabel","City Add Failed","Gagal Menambah Bandar","",""
"cityAddedSuccessfullyLabel","City Added Successfully","Bandar Berjaya Ditambah","",""
"cityUpdatedSuccessfullyLabel","City Updated Successfully","Bandar Berjaya Dikemas Kini","",""
"cityAlreadyExistsLabel","City already exists","Bandar sudah wujud","",""
"cityDoesNotExistsLabel","City does not exists","Bandar tidak wujud","",""
"cityUpdateFailedLabel","City Update Failed","Gagal Mengemas Kini Bandar","",""
"noCityFoundLabel","No City Found","Tiada Bandar Ditemui","",""
"cityRemovalFailedLabel","City Removal Failed","Gagal Menghapuskan Bandar","",""
"currencyAddedSuccessfullyLabel","Currency Added Successfully","Mata Wang Ditambah dengan Berjaya","",""
"currencyAlreadyExistsLabel","Currency already exists","Mata Wang Sudah Wujud","",""
"currencyAddFailedLabel","Currency Add Failed","Tambah Mata Wang Gagal","",""
"currencyUpdatedSuccessfullyLabel","Currency Updated Successfully","Mata Wang Dikemaskini dengan Berjaya","",""
"currencyDoesnotExistsLabel","Currency does not exists","Mata Wang Tidak Wujud","",""
"currencyUpdateFailedLabel","Currency Update Failed","Kemas Kini Mata Wang Gagal","",""
"termsAndConditionsAddedSuccessfullyLabel"," Terms and Conditions Added Successfully","","",""
"termsAndConditionsAlreadyExistsLabel"," Terms and Conditions Already Exists","","",""
"termsAndConditionsAddFailedLabel"," Terms and Conditions Add failed","","",""
"termsAndConditionsUpdatedSuccessfullyLabel"," Terms and Conditions Added Successfully","","",""
"termsAndConditionsDoesNotExistLabel"," Terms and Conditions Does Not Exist","","",""
"termsAndConditionsUpdateFailedLabel"," Terms and Conditions Update Failed","","",""
"termsAndConditionsRemovedSuccessfullyLabel"," Terms and Conditions Removed Successfully","","",""
"termsAndConditionsRemovalFailedLabel"," Terms and Conditions Removal Failed","","",""
"termsAndConditionsLabel"," Terms and Conditions","","",""
"fetchTermsAndConditionsLabel"," Fetch Terms and Conditions ","","",""
"searchTermsAndConditionsLabel"," Search TermsAndConditions","","",""
"termsAndConditionsDetailsLabel"," Terms And Conditions Details","","",""
"bankDetailsAddedSuccessfullyLabel"," BankDetails Added Successfully","","",""
"bankDetailsAlreadyExistsLabel"," BankDetails Already Exists","","",""
"bankDetailsAddFailedLabel"," BankDetails Add Failed","","",""
"bankDetailsUpdatedSuccessfullyLabel"," BankDetails Updated Successfully","","",""
"bankDetailsDoesNotExistLabel"," Bank Details Does Not Exist","","",""
"bankDetailsUpdateFailedLabel"," BankDetails Update Failed","","",""
"bankDetailsRemovedSuccessfullyLabel"," BankDetails Removed Successfully","","",""
"bankDetailsRemovalFailedLabel"," BankDetails Removal Failed","","",""
"fetchBankDetailsLabel"," Fetch Bank Details","","",""
"searchBankDetailsLabel"," search Bank Details","","",""
"fetchLicensesLabel","Fetch Licenses","Fetch Licenses","",""
"searchLicenseLabel","Search License","Search License","",""
"licenseDetailsLabel","License Details","License Details","",""
"licenseStartDateLabel","Start Date","Start Date","",""
"licenseEndDateLabel","End Date","End Date","",""
"deleteTheLicenseLabel","Delete the License","Delete the License","",""
"licenseAddedSuccessfullyLabel","License Added Successfully","License Added Successfully","",""
"licenseAlreadyExistsLabel","License already exists for the organization","License already exists for the organization","",""
"licenseAddFailedLabel","License Add Failed","License Add Failed","",""
"licenseUpdatedSuccessfullyLabel","License Updated Successfully","License Updated Successfully","",""
"licenseUpdateFailedLabel","License Update Failed","License Update Failed","",""
"licenseDeletedSuccessfullyLabel","License Deleted Successfully","License Deleted Successfully","",""
"licenseRemovalFailedLabel","License Removal Failed","License Removal Failed","",""
"licenseDoesNotExistLabel","License does not exist","License does not exist","",""
